Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,Idlewild,Isaac Robinson,1065,1073,1054,"$7,000"
2,Idlewild,Chris Dickerson,1036,1073,1060,"$5,800"
3,Idlewild,Kyle Klein,1060,1028,1048,"$4,700"
4,Idlewild,Chris Clemons,1036,1056,1030,"$3,200"
5,Idlewild,Gannon Buhr,1065,1056,1000,"$3,200"
6,Idlewild,Alden Harris,1042,1033,1036,"$2,067"
7,Idlewild,Matthew Orum,1042,1050,1018,"$2,067"
8,Idlewild,Paul McBeth,1036,1005,1073,"$2,067"
9,Idlewild,Adam Hammes,1036,1045,1024,"$1,426"
10,Idlewild,Austin Hannum,1036,1028,1042,"$1,426"
11,Idlewild,James Conrad,1060,1033,1012,"$1,426"
12,Idlewild,Jeremy Koling,1031,1039,1036,"$1,426"
13,Idlewild,Andrew Presnell,1019,1039,1042,"$1,020"
14,Idlewild,Bradley Williams,1019,1045,1036,"$1,020"
15,Idlewild,Gregg Barsby,1008,1033,1054,$850
16,Idlewild,Gavin Rathbun,1025,1033,1030,$775
17,Idlewild,Richard Wysocki,1025,1028,1036,$775
18,Idlewild,Matt Thompson,1031,1028,1030,$775
19,Idlewild,Connor O'Reilly,1036,1011,1036,$700
20,Idlewild,Corey Ellis,1019,1017,1048,$700
21,Idlewild,Matt Bell,1042,1028,1012,$700
22,Idlewild,AJ Carey,1036,1028,1012,$640
23,Idlewild,Simon Lizotte,1031,1028,1018,$640
24,Idlewild,Nate Hecker,1025,1045,1000,$610
25,Idlewild,Benjamin Callaway,1008,1039,1018,$556
